timestamp,light_intensity
0,1542
20,1542
40,1542
60,1542
80,1030
100,3846
120,1542
140,1542
160,1542
180,1540
200,1551
220,1542
240,1542
260,1542
280,1542
300,417
320,1644
340,3180
360,3238
380,3270
400,1860
420,1551
440,1542
460,1542
480,1542
500,1542
520,1030
540,3846
560,1542
580,1542
600,1542
620,1544
640,1029
660,1575
680,1733
700,1032
720,2184
740,1860
760,2153
780,2504
800,2441
820,2154
840,1060
860,3214
880,3374
900,3246
920,3053
940,3300
960,3374
980,1037
1000,3566
1020,1036
1040,3469
1060,3566
1080,3244
1100,1038
1120,3556
1140,3148
1160,1038
1180,3692
1200,3204
1220,3821
1240,3725
1260,1038
1280,3340
1300,1037
1320,3244
1340,3116
1360,3876
1380,3214
1400,3374
1420,3246
1440,417
1460,417
1480,3116
1500,3566
1520,3717
1540,1316
1560,3820
1580,3684
1600,3180
1620,3469
1640,3244
1660,1036
1680,3716
1700,2568
1720,1030
1740,3846
1760,1606
1780,1574
1800,3244
1820,3140
1840,3565
1860,1036
1880,3566
1900,3236
1920,1537
1940,328
1960,3566
1980,3236
2000,1030
2020,1038
2040,3244
2060,3374
2080,3724
2100,3652
2120,3214
2140,3502
2160,1857
2180,329
2200,2218
2220,2148
2240,1028
2260,1031
2280,1030
2300,3846
2320,1542
2340,1798
2360,1670
2380,3236
2400,1034
2420,2084
2440,1028
2460,1028
2480,1031
2500,1030
2520,3846
2540,1542
2560,1798
2580,1580
2600,1540
2620,1034
2640,2564
2660,1028
2680,1028
2700,1031
2720,1030
2740,3846
2760,3276
2780,3212
2800,1606
2820,1540
2840,1032
2860,2564
2880,1028
2900,1028
2920,1031
2940,1030
2960,3846
2980,3276
3000,1804
3020,1734
3040,1540
3060,1025
3080,330
3100,2564
3120,1028
3140,1028
3160,1031
3180,1030
3200,3846
3220,1542
3240,1542
3260,1542
3280,1540
3300,1034
3320,1540
3340,1028
3360,1028
3380,1031
3400,1030
3420,3846
3440,1766
3460,1734
3480,1702
3500,1668
3520,1034
3540,1572
3560,1028
3580,1028
3600,1031
3620,1030
3640,3846
3660,1606
3680,1574
3700,1542
3720,3268
3740,1034
3760,1604
3780,1028
3800,1028
3820,1031
3840,1030
3860,3846
3880,1638
3900,1606
3920,1574
3940,1540
3960,1025
3980,330
4000,1541
4020,2250
4040,1028
4060,1031
4080,1030
4100,3846
4120,3276
4140,3212
4160,1606
4180,3172
4200,1034
4220,1572
4240,1028
4260,1028
4280,1031
4300,1030
4320,3846
