timestamp,light_intensity
0,1312
20,2097
40,1845
60,2336
80,324
100,826
120,67
140,3918
160,1612
180,2371
200,1057
220,100
240,617
260,1637
280,607
300,3687
320,105
340,800
360,3695
380,1056
400,364
420,3183
440,1893
460,1056
480,1135
500,98
520,1312
540,1395
560,1380
580,119
600,2420
620,2080
640,1380
660,119
680,2420
700,2080
720,1394
740,623
760,573
780,3377
800,3338
820,613
840,623
860,3956
880,2414
900,1838
920,3630
940,3338
960,1363
980,45
1000,591
1020,3386
1040,1395
1060,51
1080,611
1100,813
1120,368
1140,2353
1160,3378
1180,50
1200,304
1220,560
1240,1805
1260,2626
1280,1385
1300,3172
1320,2630
1340,1378
1360,32
1380,1824
1400,560
1420,561
1440,3338
1460,627
1480,1082
1500,120
1520,800
1540,2130
1560,1091
1580,3923
1600,1887
1620,857
1640,863
1660,595
1680,1065
1700,3170
1720,3951
1740,1082
1760,120
1780,2080
1800,2131
1820,73
1840,3910
1860,339
1880,1119
1900,1612
1920,339
1940,2143
1960,591
1980,3924
2000,2317
2020,2643
2040,374
2060,1380
2080,80
2100,826
2120,120
2140,1072
2160,52
2180,2146
2200,2098
2220,3338
2240,848
2260,2391
2280,58
2300,120
2320,1381
2340,3338
2360,3439
2380,1125
2400,2628
2420,2383
2440,3104
2460,876
2480,3939
2500,2848
2520,1129
2540,1594
2560,269
2580,2668
2600,3937
2620,1082
2640,120
2660,870
2680,868
2700,1336
2720,560
2740,3180
2760,1390
2780,2608
2800,2097
2820,53
2840,2061
2860,2668
2880,3937
2900,1082
2920,120
2940,1072
2960,867
2980,823
3000,304
3020,3180
3040,1390
3060,2608
3080,2104
3100,312
3120,3338
3140,3183
3160,356
3180,2608
3200,2100
3220,51
3240,869
3260,1841
3280,44
3300,3173
3320,3642
3340,120
3360,614
3380,304
3400,3338
3420,1390
3440,1138
3460,2336
3480,120
3500,1072
3520,867
3540,823
3560,304
3580,3338
3600,1312
3620,2097
3640,1845
3660,2336
3680,324
3700,826
3720,67
3740,3918
3760,1612
3780,2371
3800,1057
3820,100
3840,617
3860,1637
3880,607
3900,3687
3920,105
3940,800
3960,3695
3980,1056
4000,364
4020,3183
4040,1893
4060,1056
4080,1135
4100,98
4120,1312
4140,1395
4160,1380
4180,119
4200,2420
4220,2080
4240,1128
4260,1312
4280,3173
4300,1889
4320,889
4340,100
4360,617
4380,1637
4400,525
4420,2573
4440,2657
4460,623
4480,628
4500,2089
4520,119
4540,371
4560,99
4580,364
4600,3173
4620,1056
4640,372
4660,80
4680,800
4700,120
4720,1074
4740,49
4760,869
4780,354
4800,111
4820,3616
4840,879
4860,613
4880,48
4900,3338
4920,879
4940,613
4960,32
4980,32
5000,613
5020,1897
5040,884
5060,1394
5080,100
5100,1389
5120,58
5140,3338
5160,3397
5180,67
5200,32
5220,32
5240,2592
5260,120
5280,1072
5300,824
5320,308
5340,613
5360,32
5380,577
5400,32
5420,32
5440,32
5460,2592
5480,120
5500,1072
5520,824
5540,1585
5560,304
5580,32
5600,848
5620,32
5640,32
5660,32
5680,2592
5700,120
5720,870
5740,868
5760,1330
5780,304
5800,32
5820,1872
5840,32
5860,32
5880,32
5900,2592
5920,120
5940,870
5960,824
5980,1078
6000,48
6020,32
6040,3338
6060,1104
6080,32
6100,32
6120,32
6140,2592
6160,120
6180,48
6200,48
6220,48
6240,48
6260,32
6280,1072
6300,32
6320,32
6340,32
6360,2592
6380,120
6400,823
6420,822
6440,821
6460,820
6480,32
6500,1073
6520,32
6540,32
6560,32
6580,2592
6600,120
6620,1842
6640,1841
6660,1840
6680,1638
6700,32
6720,1074
6740,32
6760,32
6780,32
6800,2592
6820,120
6840,819
6860,818
6880,817
6900,816
6920,32
6940,3338
6960,816
