timestamp,light_intensity
0,48
20,53
40,48
60,2096
80,102
100,1638
120,1584
140,32
160,120
180,49
200,48
220,48
240,48
260,48
280,2099
300,816
320,52
340,2149
360,32
380,120
400,1845
420,819
440,2104
460,1381
480,48
500,2103
520,356
540,48
560,817
580,1312
600,120
620,569
640,1390
660,1138
680,2336
700,120
720,1072
740,867
760,823
780,304
800,3338
820,1312
840,2097
860,2102
880,2336
900,324
920,826
940,67
960,3918
980,1612
1000,2371
1020,1057
1040,100
1060,617
1080,1637
1100,607
1120,3687
1140,105
1160,800
1180,3695
1200,1056
1220,364
1240,3183
1260,1893
1280,1056
1300,1135
1320,98
1340,1312
1360,1395
1380,1380
1400,119
1420,2420
1440,2080
1460,1128
1480,1312
1500,3173
1520,1889
1540,889
1560,100
1580,617
1600,1637
1620,525
1640,2573
1660,2657
1680,623
1700,628
1720,2089
1740,119
1760,371
1780,99
1800,364
1820,3173
1840,1056
1860,372
1880,80
1900,800
1920,120
1940,1074
1960,49
1980,869
2000,354
2020,111
2040,3616
2060,879
2080,613
2100,48
2120,3338
2140,879
2160,613
2180,32
2200,32
2220,613
2240,1897
2260,884
2280,1394
2300,100
2320,1389
2340,58
2360,3338
2380,3397
2400,67
2420,32
2440,32
2460,2592
2480,120
2500,1072
2520,824
2540,308
2560,613
2580,32
2600,577
2620,32
2640,32
2660,32
2680,2592
2700,120
2720,1072
2740,824
2760,1585
2780,304
2800,32
2820,848
2840,32
2860,32
2880,32
2900,2592
2920,120
2940,870
2960,868
2980,1330
3000,304
3020,32
3040,1872
3060,32
3080,32
3100,32
3120,2592
3140,120
3160,870
3180,824
3200,1078
3220,48
3240,32
3260,3338
3280,1104
3300,32
3320,32
3340,32
3360,2592
3380,120
3400,48
3420,48
3440,48
3460,48
3480,32
3500,1072
3520,32
3540,32
3560,32
3580,2592
3600,120
3620,823
3640,822
3660,821
3680,820
3700,32
3720,1073
3740,32
3760,32
3780,32
3800,2592
3820,120
3840,1842
3860,1841
3880,1840
3900,1638
3920,32
3940,1074
3960,32
3980,32
4000,32
4020,2592
4040,120
4060,819
4080,818
4100,817
4120,816
4140,32
4160,3338
4180,816
4200,3910
4220,32
4240,32
