timestamp,light_intensity
0,865
20,2080
40,120
60,561
80,1328
100,1075
120,2358
140,48
160,2096
180,2404
200,1636
220,308
240,1056
260,120
280,1336
300,98
320,816
340,1378
360,48
380,2148
400,870
420,1591
440,1123
460,2080
480,120
500,611
520,1588
540,870
560,1332
580,3338
600,3338
620,3338
640,48
660,48
680,48
700,2096
720,48
740,48
760,48
780,32
800,120
820,48
840,48
860,48
880,48
900,48
920,2096
940,48
960,48
980,48
1000,13
1020,2611
1040,1635
1060,1125
1080,1126
1100,58
1120,48
1140,2096
1160,48
1180,48
1200,48
1220,32
1240,120
1260,48
1280,48
1300,48
1320,48
1340,48
1360,2096
1380,48
1400,48
1420,48
1440,32
1460,120
1480,48
1500,48
1520,48
1540,48
1560,48
1580,2096
1600,48
1620,48
1640,48
1660,32
1680,120
1700,48
1720,48
1740,48
1760,48
1780,48
1800,2096
1820,48
1840,48
1860,48
1880,32
1900,120
1920,48
1940,48
1960,48
1980,48
2000,3338
2020,870
2040,868
2060,1333
2080,304
2100,2592
2120,120
2140,48
2160,48
2180,48
2200,48
2220,48
2240,2096
2260,48
2280,48
2300,48
2320,32
2340,120
2360,48
2380,48
2400,48
2420,48
2440,48
2460,2096
2480,48
2500,48
2520,48
2540,32
2560,120
2580,48
2600,48
2620,48
2640,48
2660,48
2680,2096
2700,48
2720,48
2740,48
2760,32
2780,120
2800,48
2820,48
2840,48
2860,48
2880,48
2900,2096
2920,48
2940,48
2960,48
2980,13
3000,2611
3020,1635
3040,1125
3060,1331
3080,58
3100,48
3120,2096
3140,48
3160,48
3180,48
3200,32
3220,120
3240,48
3260,48
3280,48
3300,48
3320,48
3340,2096
3360,48
3380,48
3400,48
3420,32
3440,120
3460,48
3480,48
3500,48
3520,48
3540,48
3560,2096
3580,48
3600,48
3620,48
3640,32
3660,120
3680,48
3700,48
3720,48
3740,48
3760,48
3780,2096
3800,48
3820,48
3840,48
3860,544
3880,120
3900,48
3920,48
3940,48
3960,48
3980,3338
4000,870
4020,868
4040,1333
4060,1328
4080,2592
4100,120
4120,1584
4140,99
4160,1330
4180,48
4200,48
4220,2102
4240,48
4260,821
4280,560
4300,32
4320,120
4340,48
4360,48
4380,48
4400,2096
4420,48
4440,2100
4460,48
4480,1121
4500,569
4520,1568
4540,120
4560,2353
4580,355
4600,54
4620,1072
4640,48
4660,2149
4680,870
4700,1075
4720,1380
4740,544
4760,120
4780,870
4800,868
4820,1334
4840,1592
4860,48
4880,2096
4900,48
4920,48
4940,48
4960,13
4980,2611
5000,1635
5020,1125
5040,1335
5060,58
5080,48
5100,2099
5120,2102
5140,563
5160,2099
5180,544
5200,120
5220,48
5240,48
5260,48
5280,48
5300,48
5320,2096
5340,48
5360,304
5380,48
5400,32
5420,120
5440,614
5460,50
5480,51
5500,1337
5520,48
5540,2100
5560,51
5580,867
5600,1841
5620,32
5640,120
5660,1072
5680,867
5700,1335
5720,304
5740,48
5760,2096
5780,48
5800,50
5820,1633
5840,32
5860,120
5880,48
5900,48
5920,48
5940,1381
5960,3338
5980,870
6000,868
6020,1333
6040,2352
6060,2592
6080,120
6100,48
6120,48
6140,48
6160,53
6180,48
6200,2096
6220,102
6240,1638
6260,1584
6280,32
6300,120
6320,49
6340,48
6360,48
6380,48
6400,48
6420,2099
6440,816
6460,52
6480,2149
6500,32
6520,120
6540,1845
6560,819
6580,2104
6600,1381
6620,48
6640,2103
6660,356
6680,48
6700,817
6720,1312
6740,120
6760,569
6780,2357
6800,1378
6820,307
6840,48
6860,2096
6880,870
6900,870
6920,865
6940,2061
6960,2611
6980,1635
7000,1125
7020,1378
7040,58
7060,48
7080,2146
7100,309
7120,100
7140,825
7160,1568
7180,120
7200,57
7220,1126
7240,1121
7260,1124
7280,48
7300,2149
7320,2096
7340,611
7360,101
7380,544
7400,120
7420,1075
7440,1590
7460,1844
7480,824
7500,48
7520,2098
7540,870
7560,1075
7580,1589
7600,1056
7620,120
7640,48
7660,48
7680,48
7700,48
7720,48
7740,2096
7760,48
7780,48
7800,48
