timestamp,light_intensity
0,1542
20,1030
40,3846
60,1542
80,1542
100,1542
120,1540
140,1551
160,1542
180,1542
200,1542
220,1542
240,1030
260,3846
280,1542
300,1542
320,1542
340,1540
360,1551
380,1542
400,1542
420,1542
440,1542
460,1030
480,3846
500,1542
520,1542
540,1542
560,1540
580,1551
600,1542
620,1549
640,3564
660,3207
680,1551
700,1670
720,1644
740,3174
760,1574
780,1421
800,3245
820,1862
840,3847
860,3111
880,417
900,3469
920,3116
940,1862
960,3846
980,1542
1000,3180
1020,1766
1040,1541
1060,3468
1080,3527
1100,1551
1120,1612
1140,3110
1160,417
1180,3245
1200,3726
1220,3876
1240,1551
1260,1670
1280,1644
1300,3174
1320,1574
1340,417
1360,2212
1380,1286
1400,1798
1420,1316
1440,2088
1460,2151
1480,1032
1500,2537
1520,2249
1540,2344
1560,2692
1580,1036
1600,3661
1620,3788
1640,3659
1660,3532
1680,1037
1700,3684
1720,3533
1740,3716
1760,3117
1780,3469
1800,3820
1820,3204
1840,3725
1860,1036
1880,3236
1900,3758
1920,3244
1940,1038
1960,3374
1980,3332
2000,3725
2020,3236
2040,3468
2060,3308
2080,3183
2100,1036
2120,3661
2140,3788
2160,3649
2180,321
2200,332
2220,3149
2240,3662
2260,1285
2280,1038
2300,3118
2320,1036
2340,3117
2360,3468
2380,3204
2400,3118
2420,1034
2440,2148
2460,1551
2480,1670
2500,1542
2520,1644
2540,3116
2560,1037
2580,3524
2600,3181
2620,3660
2640,1030
2660,417
2680,2157
2700,3660
2720,1028
2740,1540
2760,3660
2780,3309
2800,3694
2820,3246
2840,1036
2860,3757
2880,3591
2900,417
2920,2472
2940,2568
2960,1028
2980,1028
3000,1860
3020,1551
3040,1670
3060,1639
3080,1574
3100,1612
3120,1028
3140,2632
3160,1028
3180,1028
3200,1028
3220,1860
3240,1551
3260,1670
3280,1639
3300,1734
3320,3110
3340,1028
3360,2666
3380,1028
3400,1028
3420,1028
3440,1860
3460,1551
3480,1644
3500,3180
3520,3238
3540,1574
3560,1028
3580,2282
3600,1028
3620,1028
3640,1028
3660,1860
3680,1551
3700,1644
3720,3175
