timestamp,light_intensity
0,865
20,2080
40,120
60,561
80,1328
100,1075
120,2358
140,48
160,2096
180,2404
200,1636
220,308
240,1056
260,120
280,1336
300,98
320,816
340,1378
360,48
380,2148
400,870
420,1591
440,1123
460,2080
480,120
500,611
520,1588
540,870
560,1332
580,3338
600,3338
620,3338
640,1312
660,2097
680,2102
700,2336
720,324
740,826
760,67
780,3918
800,1612
820,2371
840,1057
860,100
880,617
900,1637
920,607
940,3687
960,105
980,800
1000,3695
1020,1056
1040,364
1060,3183
1080,1893
1100,1056
1120,1135
1140,98
1160,1312
1180,1395
1200,1380
1220,119
1240,2420
1260,2080
1280,1128
1300,1312
1320,3173
1340,1889
1360,889
1380,100
1400,617
1420,1637
1440,525
1460,2573
1480,2657
1500,623
1520,628
1540,2089
1560,119
1580,371
1600,99
1620,364
1640,3173
1660,1056
1680,372
1700,80
1720,800
1740,120
1760,1074
1780,49
1800,869
1820,354
1840,111
1860,3616
1880,879
1900,613
1920,48
1940,3338
1960,879
1980,613
2000,32
2020,32
2040,613
2060,1897
2080,884
2100,1394
2120,100
2140,1389
2160,58
2180,3338
2200,3397
2220,67
2240,32
2260,32
2280,2592
2300,120
2320,1072
2340,824
2360,308
2380,613
2400,32
2420,577
2440,32
2460,32
2480,32
2500,2592
2520,120
2540,1072
2560,824
2580,1585
2600,304
2620,32
2640,848
2660,32
2680,32
2700,32
2720,2592
2740,120
2760,870
2780,868
2800,1330
2820,304
2840,32
2860,1872
2880,32
2900,32
2920,32
2940,2592
2960,120
2980,870
3000,824
3020,1078
3040,48
3060,32
3080,3338
3100,1104
3120,32
3140,32
3160,32
3180,2592
3200,120
3220,48
3240,48
3260,48
3280,48
3300,32
3320,1072
3340,32
3360,32
3380,32
3400,2592
3420,120
3440,823
3460,822
3480,821
3500,820
3520,32
3540,1073
3560,32
3580,32
3600,32
3620,2592
3640,120
3660,1842
3680,1841
3700,1840
3720,1638
3740,32
3760,1074
3780,32
3800,32
3820,32
3840,2592
3860,120
3880,819
3900,818
3920,817
3940,816
3960,32
3980,3338
4000,816
4020,3910
4040,32
4060,32
4080,2592
4100,120
4120,870
4140,868
4160,1330
4180,867
4200,32
4220,817
4240,32
4260,32
4280,32
4300,2592
4320,120
4340,870
4360,868
4380,1330
4400,867
4420,32
4440,304
4460,32
4480,32
4500,32
4520,2592
4540,120
4560,870
4580,868
4600,1330
4620,1080
4640,32
4660,305
4680,32
4700,32
4720,32
4740,2592
4760,120
4780,870
4800,868
4820,1330
4840,609
4860,32
4880,3338
4900,306
4920,32
4940,32
4960,32
4980,2592
5000,120
5020,48
5040,48
5060,48
5080,48
5100,32
5120,307
5140,32
5160,32
5180,32
5200,2592
5220,120
5240,870
5260,868
5280,1330
5300,1845
5320,32
5340,308
5360,32
5380,32
5400,32
5420,2592
5440,120
5460,48
5480,48
5500,48
5520,49
5540,32
5560,309
5580,32
5600,32
5620,32
5640,2592
5660,120
5680,870
5700,825
5720,2096
5740,48
5760,32
5780,3338
5800,310
5820,32
5840,32
5860,32
5880,2592
5900,120
5920,1889
5940,1849
5960,1848
5980,1847
6000,32
6020,311
6040,32
6060,32
6080,32
6100,2592
6120,120
6140,1846
6160,1845
6180,1844
6200,1843
6220,32
6240,818
6260,32
6280,32
6300,32
6320,2592
6340,120
6360,867
6380,98
6400,48
6420,48
6440,32
6460,819
6480,32
6500,32
6520,32
6540,2592
6560,120
6580,870
6600,825
6620,1893
6640,308
6660,32
6680,3338
6700,820
6720,32
6740,32
6760,32
6780,2592
6800,120
6820,48
6840,51
6860,818
6880,560
6900,32
6920,821
6940,32
6960,32
6980,32
7000,2592
7020,120
7040,867
7060,98
7080,48
7100,48
7120,32
7140,822
7160,32
7180,32
7200,32
7220,2592
7240,120
7260,1638
7280,1638
7300,48
7320,48
7340,32
7360,823
7380,32
7400,32
7420,32
7440,2592
7460,120
7480,1072
7500,824
7520,308
7540,1072
7560,32
7580,3338
7600,824
7620,32
7640,32
7660,32
7680,2592
7700,120
7720,48
7740,53
7760,48
