timestamp,light_intensity
0,3338
20,354
40,3954
60,1064
80,2336
100,1889
120,800
140,865
160,3180
180,1380
200,97
220,1056
240,67
260,48
280,2100
300,560
320,307
340,1377
360,544
380,3950
400,99
420,3954
440,1312
460,13
480,2627
500,3954
520,1312
540,48
560,114
580,1383
600,2419
620,1125
640,544
660,1141
680,3440
700,2573
720,2637
740,1360
760,800
780,32
800,58
820,48
840,2100
860,51
880,2097
900,1074
920,1312
940,82
960,288
980,32
1000,32
1020,58
1040,48
1060,2100
1080,51
1100,2102
1120,353
1140,32
1160,83
1180,32
1200,32
1220,32
1240,58
1260,48
1280,2099
1300,1635
1320,1125
1340,561
1360,32
1380,71
1400,32
1420,32
1440,32
1460,58
1480,48
1500,2099
1520,1635
1540,2148
1560,1584
1580,32
1600,13
1620,2644
1640,32
1660,32
1680,32
1700,58
1720,48
1740,2096
1760,48
1780,48
1800,48
1820,32
1840,84
1860,32
1880,32
1900,32
1920,58
1940,48
1960,2099
1980,1843
2000,1587
2020,1331
2040,1056
2060,84
2080,288
2100,32
2120,32
2140,58
2160,48
2180,2103
2200,567
2220,311
2240,54
2260,1568
2280,84
2300,544
2320,32
2340,32
2360,58
2380,48
2400,2099
2420,819
2440,563
2460,307
2480,32
2500,13
2520,2643
2540,47
2560,1616
2580,32
2600,58
2620,48
2640,2099
2660,1635
2680,1125
2700,563
2720,800
2740,83
2760,288
2780,32
2800,32
2820,58
2840,48
2860,2099
2880,1635
2900,1125
2920,563
2940,800
2960,65
2980,32
3000,32
3020,32
3040,58
3060,48
3080,2099
3100,1635
3120,1125
3140,564
3160,2080
3180,65
3200,288
3220,32
3240,32
3260,58
3280,48
3300,2099
3320,1635
3340,1125
3360,562
3380,288
3400,13
3420,2625
3440,544
3460,32
3480,32
3500,58
3520,48
3540,2096
3560,48
3580,48
3600,48
3620,32
3640,65
3660,800
3680,32
3700,32
3720,58
3740,48
3760,2099
3780,1635
3800,1125
3820,567
3840,1312
3860,65
3880,1056
3900,32
3920,32
3940,58
3960,48
3980,2096
4000,48
4020,48
4040,48
4060,288
4080,65
4100,1312
4120,32
4140,32
4160,58
4180,48
4200,2099
4220,1635
4240,2360
4260,48
4280,32
4300,13
4320,2625
4340,1568
4360,32
4380,32
4400,58
4420,48
4440,2103
4460,311
4480,2359
4500,2103
4520,1824
4540,65
4560,1824
4580,32
4600,32
4620,58
4640,48
4660,2103
4680,1591
4700,1335
4720,1079
4740,800
4760,83
4780,544
4800,32
4820,32
4840,58
4860,48
4880,2099
4900,816
4920,560
4940,48
4960,32
4980,83
5000,800
5020,32
5040,32
5060,58
5080,48
5100,2099
5120,1635
5140,2359
5160,1329
5180,1056
5200,13
5220,2643
5240,1056
5260,32
5280,32
5300,58
5320,48
5340,2096
5360,48
5380,819
5400,610
5420,32
5440,83
5460,1312
5480,32
5500,32
5520,58
5540,48
5560,2099
5580,816
5600,560
5620,48
5640,32
5660,83
5680,1568
5700,32
5720,32
5740,58
5760,48
5780,2150
5800,1638
5820,1584
5840,48
5860,32
5880,83
5900,1824
5920,32
5940,32
5960,58
5980,48
6000,2100
6020,51
6040,2097
6060,1076
6080,32
6100,13
6120,2643
6140,2080
6160,32
6180,32
6200,58
6220,48
6240,2096
6260,48
6280,1328
6300,50
6320,32
6340,83
6360,2336
6380,32
6400,32
6420,58
6440,48
6460,2096
6480,48
6500,304
6520,50
6540,32
6560,83
6580,304
6600,32
6620,32
6640,58
6660,48
6680,2096
6700,48
6720,48
6740,48
6760,1568
6780,83
6800,305
6820,32
6840,32
6860,58
6880,48
6900,2099
6920,1635
6940,1125
6960,867
6980,2080
7000,13
7020,2644
7040,800
7060,32
7080,32
7100,58
7120,48
7140,2102
7160,1334
7180,1078
7200,822
7220,544
7240,84
7260,1056
7280,32
7300,32
7320,58
7340,48
7360,2102
7380,310
7400,2358
7420,2102
7440,1824
7460,84
7480,1312
7500,32
7520,32
