timestamp,light_intensity
0,1312
20,2097
40,1845
60,2336
80,324
100,826
120,67
140,3918
160,1612
180,2371
200,1057
220,100
240,617
260,1637
280,607
300,3687
320,105
340,800
360,3695
380,1056
400,364
420,3183
440,1893
460,1056
480,1135
500,98
520,1312
540,1395
560,1380
580,119
600,2420
620,2080
640,48
660,1080
680,1072
700,48
720,2099
740,1638
760,355
780,308
800,800
820,120
840,48
860,48
880,1638
900,1638
920,48
940,2150
960,1638
980,1638
1000,1638
1020,1568
1040,120
1060,48
1080,48
1100,48
1120,48
1140,48
1160,2099
1180,1635
1200,1125
1220,1122
1240,32
1260,120
1280,48
1300,48
1320,48
1340,48
1360,48
1380,2100
1400,51
1420,870
1440,1330
1460,1037
1480,2611
1500,1635
1520,1125
1540,823
1560,58
1580,48
1600,2103
1620,1635
1640,1584
1660,1891
1680,1312
1700,120
1720,48
1740,49
1760,48
1780,48
1800,48
1820,2096
1840,49
1860,1072
1880,48
1900,32
1920,120
1940,48
1960,49
1980,48
2000,48
2020,48
2040,2098
2060,1584
2080,560
2100,1637
2120,2336
2140,120
2160,1072
2180,824
2200,308
2220,1072
2240,48
2260,2096
2280,48
2300,48
2320,101
2340,1312
2360,120
2380,48
2400,48
2420,48
2440,53
2460,3338
2480,870
2500,868
2520,1331
2540,2352
2560,2592
2580,120
2600,48
2620,1638
2640,1638
2660,48
2680,48
2700,2096
2720,304
2740,48
2760,48
2780,32
2800,120
2820,867
2840,98
2860,48
2880,560
2900,48
2920,2096
2940,48
2960,819
2980,610
3000,32
3020,120
3040,870
3060,824
3080,869
3100,48
3120,48
3140,2096
3160,48
3180,49
3200,569
3220,32
3240,120
3260,1072
3280,824
3300,48
3320,48
3340,48
3360,2096
3380,48
3400,98
3420,353
3440,2061
3460,2611
3480,1635
3500,1125
3520,866
3540,58
3560,48
3580,2100
3600,560
3620,48
3640,50
3660,32
3680,120
3700,48
3720,97
3740,2402
3760,1336
3780,48
3800,2100
3820,51
3840,2146
3860,353
3880,2080
3900,120
3920,48
3940,48
3960,354
3980,312
4000,48
4020,2101
4040,48
4060,48
4080,49
4100,32
4120,120
4140,48
4160,48
4180,48
4200,52
4220,48
4240,2096
4260,48
4280,48
4300,48
4320,32
4340,120
4360,48
4380,48
4400,48
4420,48
4440,3338
4460,870
4480,868
4500,1331
4520,1072
4540,2592
4560,120
4580,48
4600,48
4620,48
4640,48
4660,48
4680,2096
4700,48
4720,48
4740,48
4760,32
4780,120
4800,48
4820,48
4840,48
4860,48
4880,48
4900,2096
4920,48
4940,48
4960,48
4980,32
5000,120
5020,48
5040,48
5060,48
5080,48
5100,48
5120,2096
5140,48
5160,48
5180,48
5200,32
5220,120
5240,48
5260,48
5280,48
5300,48
5320,48
5340,2096
5360,48
5380,48
5400,48
5420,13
5440,2611
5460,1635
5480,1125
5500,870
5520,58
5540,48
5560,2096
5580,48
5600,48
5620,48
5640,32
5660,120
5680,48
5700,48
5720,48
5740,48
5760,48
5780,2096
5800,48
5820,48
5840,48
5860,32
5880,120
5900,48
5920,48
5940,48
5960,48
5980,48
6000,2096
6020,48
6040,48
6060,48
6080,32
6100,120
6120,48
6140,48
6160,48
6180,48
6200,48
6220,2096
6240,48
6260,48
6280,48
6300,32
6320,120
6340,48
6360,48
6380,48
6400,48
6420,3338
6440,870
6460,868
6480,1332
6500,304
6520,2592
6540,120
6560,48
6580,48
6600,48
6620,48
6640,48
6660,2096
6680,48
6700,48
6720,48
6740,32
6760,120
6780,48
6800,49
6820,48
6840,560
6860,48
6880,2096
6900,48
6920,1075
6940,612
6960,2080
6980,120
7000,48
7020,52
7040,1125
7060,1840
7080,48
7100,2096
7120,48
7140,1328
7160,50
7180,32
7200,120
7220,48
7240,102
